en,ch
marshal,元帅
Tang poetry,唐诗
repay,偿还
fate,宿命
fault,过失
bamboo forest,竹林
Living Room,居室
water source,水源
petition,请愿
Mountains,山脉
Founding,创刊
Success or failure,成败
morbid,病态
farewell,送别
blindness,失明
trend,风潮
midsummer,盛夏
Paid,有偿
Compilation,编成
firecrackers,爆竹
Disharmony,失调
Repair,修缮
discuss,商谈
Recent Developments,近况
Astonishing,仰天
Release water,放水
Survivor,生还
prototype,雏形
Daily use,日用
Famous Mountains,名山
when,时候
world,世界
company,公司
Require,要求
Unknown,不知
real,真正
easy,容易
all,全部
Need not,不用
Keep,保持
Human,人类
structure,结构
Cheap,便宜
world,天下
take,采取
man,男子
secretary,书记
lady,夫人
move,移动
reason,道理
contradiction,矛盾
health,卫生
industry,工业
garden,花园
color,色彩
Chinese character,汉字
repeatedly,反复
ground,地面
Team members,队员
forest,森林
villagers,村民
private,私人
Wuhan,武汉
prohibit,禁止
City,都市
ism,主义
sensitive,敏感
Reception,接待
Skill,技能
Thirteen,十三
family,家族
yesterday,昨日
Something,有事
Poetry,诗歌
poor,贫困
brave,勇敢
treatment,待遇
soldier,军人
tall,高大
outstanding,出色
Advance,推进
premise,前提
violation,违反
master,老爷
finance,财务
climax,高潮
First-class,一流
Recognition,认定
beautiful,优美
powerful,有力
subtitle,字幕
grandson,孙子
once again,再度
color,彩色
manpower,人力
woman,妇人
expenditure,支出
General,通用
enthusiastic,热心
prose,散文
Add to,添加
Hibiscus,芙蓉
accelerate,加速
civilian,平民
handshake,握手
Playing ball,打球
ignorance,无知
inconvenient,不便
escape,逃避
dumpling,饺子
running water,流水
Favorable,好感
cycle,循环
thinking,思索
consistent,一贯
Making friends,交友
cause and effect,因果
Products,制品
dispersion,分散
Governing,执政
Cognition,认知
southeast,东南
exchange,兑换
kill,杀害
electrical appliances,电器
remuneration,报酬
convenience,便利
communication,交际
river water,河水
east,东部
Stability,安定
personal,人身
trial,裁判
Queen,皇后
getting Started,入门
Change name,改名
superstitious,迷信
immediate,即时
organ,器官
gamble,赌博
scholar,秀才
nameless,无名
material,素材
Capture,捕捉
March,进军
water flow,水流
Blood vessel,血管
descendants,子孙
North Sea,北海
weak,软弱
Lady,淑女
Equal,同等
lasting,持久
index finger,食指
injection,注射
Modification,修饰
grave,坟墓
site,地盘
simple,简易
useless,无用
retreat,撤退
Obtain,入手
Mountain village,山村
Literacy,素养
Unearthed,出土
Completion,完工
facial features,五官
platinum,白金
practice,作法
Vision,视界
deliver,交付
Surname,姓氏
small,细小
Demon King,魔王
arouse,唤起
Huge profits,暴利
rain,雨天
predecessor,前任
Interview,面谈
Outdoors,屋外
wool,羊毛
morality,道义
militia,民兵
concurrently,兼任
stubborn,顽固
coral,珊瑚
goat,山羊
Speed,时速
On the other hand,反面
nap,午睡
ejection,射出
fossil,化石
Long-term,长年
Ancient Poetry,古诗
Special,特约
one by one,逐一
Discussion,座谈
riot,暴动
adverb,副词
ex-wife,前妻
grief and anger,悲愤
monarch,君主
Import,导入
Breach of Contract,违约
staple food,主食
Scheduling,调度
night market,夜市
grotto,石窟
weed,野草
warship,军舰
library,文库
Heavenly Principle,天理
Tone,音色
delivery,输送
Threaten,扬言
lustful,好色
attention,注目
color,血色
aging,老化
care,看护
Combined,合算
Afterlife,后事
Lakeside,湖畔
Spring Rain,春雨
gloomy,阴郁
Immortal,仙人
sinner,罪人
motor,电机
flaw,破绽
mountains and rivers,山川
Suffering,受难
Nanyang,南洋
Return,返还
Food and clothing,衣食
Sense of Language,语感
Simple,简便
Momordica charantia,苦瓜
damaged,破损
saturation,饱和
marketplace,市井
canvas,帆布
ash,灰烬
house arrest,软禁
pain,苦痛
Nearby,近郊
Brave,勇猛
underwater,水底
Your Highness,殿下
Tea Ceremony,茶道
Waterways,水路
Boredom,烦闷
Own,自己
Serve,服务
parents,父母
standard,标准
have,具有
architecture,建筑
below,以下
classroom,教室
women,妇女
reduce,减少
Accident,意外
other than,以外
up and down,上下
Mention,提起
Vague,模糊
Level 1,一级
daily,日常
Qingdao,青岛
sorrow,悲哀
career,生涯
will,意志
rule,规矩
opportunity,时机
proposal,提议
Melancholy,忧郁
name,命名
staff,职员
raw material,原料
summer,夏季
Mountaintop,山顶
judgment,判决
tasty,美味
stop,制止
Credit,信用
implement,贯彻
grandfather,祖父
Central Plains,中原
abstract,抽象
shock,震动
careful,慎重
jump,跳跃
ethics,伦理
captain,船长
Superman,超人
autonomy,自治
bureaucracy,官僚
A generation,一世
Going south,南下
terminal,终端
new moon,新月
hold fast,坚守
worldly affairs,世事
leader,首领
lute,琵琶
Appreciation,鉴赏
Nanshan,南山
lipstick,口红
origin,起因
rainy season,雨季
Reward,悬赏
brute,畜生
Notes,记事
White Water,白水
full length,全长
leisure,闲暇
Tasteless,无味
civil and military,文武
South China,华南
usually,大抵
texture,质感
Trends,推移
Inaction,无为
reduce,削减
Reproduction,生殖
Self-defense,自卫
arbitration,仲裁
Royal Family,皇室
The Great,大帝
Bloodline,血脉
Longevity,长生
child prodigy,神童
Trust,信托
downturn,低迷
water plants,水草
marijuana,大麻
Retro,复古
vibration,振动
anemia,贫血
Unexpectedly,不意
Fisheries,渔业
artery,动脉
elongation,伸长
Leap Forward,跃进
Exit,退场
Koharu,小春
Beijing,北京
Telephone,电话
culture,文化
special,特别
Research,研究
Someone,有人
manage,管理
Enter,进入
answer,回答
solve,解决
family,家庭
Finish,结束
Life,人生
use,利用
event,事件
recommend,推荐
effect,作用
persist in,坚持
Purpose,目的
electronic,电子
form,形式
space,空间
English,英文
theme,主题
revolution,革命
director,主任
action,动作
indeed,的确
unified,统一
President,主席
fast,迅速
PhD,博士
full text,全文
persecution,迫害
Peace,和平
behind,背后
weekend,周末
manufacture,制造
born,出生
red,红色
fear,恐怖
Operation,作业
automatic,自动
topic,题目
garden,公园
stop,停止
area,面积
Half a year,半年
substance,物质
romantic,浪漫
get off,下车
specification,规范
world,天地
landscape,风景
suicide,自杀
Replenish,补充
distribute,分配
Investigation,考察
thing,事物
Glasses,眼镜
male,男性
First-hand,一手
singer,歌手
books,书籍
whole body,浑身
army,军队
diplomatic,外交
kind,亲切
Passion,热爱
in front of the door,门前
set up,设立
protest,抗议
Attend,出席
famous,知名
Serial,连载
impulse,冲动
Sexy,性感
quality,品质
copy,复制
vote,投票
truth,真理
trace,痕迹
justice,正义
Liquor,白酒
make sure,确保
the latter,后者
telecommunications,电信
moonlight,月光
Friendship,友情
recently,近日
Explanation,交代
Idol,偶像
Starring,主演
Path,小路
style,风情
short term,短期
earthquake,地震
beef,牛肉
scenery,景色
original,原文
close,亲密
Delegation,委托
forest,树林
resistance,反抗
performance,性能
physiological,生理
not clear,不明
Performance,演奏
Model,模型
exclude,排除
Infringement,侵犯
Establish,树立
shock,震撼
From,出自
distinct,鲜明
Responsibilities,职责
wry smile,苦笑
uniform,制服
seafood,海鲜
North and South,南北
sunrise,日出
laugh at,嘲笑
Gentleman,君子
motivation,动机
Landlord,地主
noble,高尚
Small,小型
adaptation,改编
outsider,外人
peace,平和
Spring and Autumn Period,春秋
form,形态
category,类别
overseas Chinese,华侨
constraint,约束
dynasty,王朝
bookshelf,书架
close,紧密
New,新型
set up,设定
blockade,封锁
fatal,致命
Extra Large,特大
Zoom out,缩小
wonderful,奇妙
Taiping,太平
peninsula,半岛
position,阵地
Minister,大臣
Triangle,三角
rice,米饭
slogan,标语
income,所得
refute,反驳
debt,债务
police officer,警官
Eyebrow,眉毛
yin and yang,阴阳
talent,天赋
flat,平面
Hopeful,有望
Charges,罪名
Careless,无心
friend,友人
Army,大军
Jinshan,金山
Central,中部
dry,干燥
wild,野生
nature,天性
schedule,进度
haggard,憔悴
source,根源
farmhouse,农家
Exclusion,排斥
parting,离别
thoughtful,周到
adult,成年
scholar,书生
Famous artists,名家
Reappearance,再现
saint,圣人
panic,恐慌
storage,保管
Newly married,新婚
Retrieval,挽回
Son of Heaven,天子
rescue,救援
Convention,公约
plum bossom,梅花
shape,外形
rear,后方
believer,信徒
Avant-garde,前卫
Secretary,干事
Sensibility,感性
Ambition,野心
Previous life,前世
time,光阴
Off-campus,校外
suburbs,郊外
electric,电动
Repair,修好
immunity,免疫
wise,明智
Wandering,游荡
schedule,日程
voter,选民
Speed,车速
forgery,伪造
building materials,建材
astronomical,天文
oral cavity,口腔
sunny,晴天
lunch box,饭盒
Atrophy,萎缩
New version,新版
Encounter,邂逅
Islands,群岛
snow,积雪
leap,飞跃
trauma,创伤
goldfish,金鱼
Completion,竣工
run,奔走
Tai Chi,太极
livelihood,生计
cater,迎合
Predecessors,前人
limited,限定
Maneuver,机动
Paper,纸片
End,端的
sunlight,日光
fleet,舰队
staggered,交错
One-sided,片面
magic,魔术
fuel,燃油
sketch,素描
I agree,同感
Night view,夜景
believers,教徒
differentiation,分化
Multi-purpose,多用
short stature,矮小
case filing,立案
comfortable,安逸
Familiar,熟知
sea ​​of ​​people,人海
gap,间隙
sailboat,帆船
Construction,构筑
interrogation,审问
oath,宣誓
cheers,干杯
Astonished,愕然
crude,原油
All-round,全能
gap,空隙
Blue Sky,青天
pancakes,煎饼
doctrine,教义
Thunder,雷鸣
Comments,评议
Qingyun,青云
meat,肉类
fish,鱼肉
Intrusion,侵入
deviation,偏差
Visit,探访
urgent,紧迫
Circumstances,境遇
Heart and Eyes,心眼
dolphin,海豚
deliberation,推敲
leave,别离
march,行军
Civil Law,民法
Flat,扁平
scarf,头巾
throat,咽喉
edema,浮肿
academy,书院
Direct vision,直视
literal,字面
Talent,天分
Accomplishments,造诣
officials,官吏
blood transfusion,输血
coexist,共存
Authenticity,真伪
coating,涂料
precocious,早熟
wild,野性
fundus,眼底
Diligence,精进
Wavelet,小波
vegetable garden,菜园
Killing,杀生
Closing,闭幕
obscene,猥亵
inference,推论
Appointment,就任
Four Corners,四角
Ancestors,先人
eyesight,眼力
droop,下垂
anthology,文选
service,送达
Occlusion,闭塞
Casualties,死伤
left wing,左翼
injection,喷射
name,指名
fish,鱼类
First Draft,初稿
Go out,出马
parasitic,寄生
dense forest,密林
enlightenment,教化
Heavenly Way,天道
lead to,招致
Difficulties,苦衷
advance and retreat,进退
front,正面
team leader,队长
Wound,伤口
clinical,临床
illumination,照明
Everyone,大家
after,以后
must,必须
Sudden,突然
express,表示
supply,提供
support,支持
government,政府
On the body,身上
system,系统
affim,肯定
talent,才能
about,左右
Safety,安全
professor,教授
century,世纪
Habit,习惯
analyze,分析
beauty,美丽
significance,意义
reform,改革
Target,目标
No,不可
Report,报道
Protect,保护
Feeling,感受
bank,银行
Location,位置
limited,有限
Material,材料
strangeness,奇怪
on site,现场
theory,理论
final,最终
lifetime,一生
show,演出
animal,动物
open,开放
create,创造
Adjustment,调整
reflect,反映
Answer,答案
disciple,弟子
Always,始终
need,必要
exit,出口
arrive,到达
field,领域
Pay attention to,重视
Sky,天空
Owner,主人
patient,病人
thorough,彻底
For a while,一时
abroad,海外
secret,秘密
Teaching Materials,教材
conform to,符合
statistics,统计
men and women,男女
expectations,期待
Consistency,一致
food,食物
Same,同一
confidence,信心
passion,激情
Promote,促进
arms,武器
Supervision,监督
integral,积分
Unparalleled,无比
China,中华
core,核心
case,案件
improve,改善
London,伦敦
hint,提示
command,指挥
scene,场面
balance,平衡
determination,决心
Business,商务
minister,部长
idea,理念
difference,差异
urgent,紧急
prison,监狱
universe,宇宙
One line,一行
obligation,义务
lesson,教训
difference,差别
Record,记载
variety,品种
Stay,停留
communication,通信
index,指标
Prevent,阻止
attack,进攻
exaggerate,夸张
when,何时
fairy tale,童话
verb,动词
flow,流动
progress,进展
Topic,课题
Years,年间
gourmet food,美食
ocean,海洋
Recognition,认可
squad leader,班长
grassland,草原
devil,鬼子
cold,寒冷
Loss,丧失
grassland,草地
shadow,阴影
inform,告知
art,美术
Top of head,头顶
wind and rain,风雨
identification,特定
theme,题材
rape,强奸
gender,性别
put up,建造
sigh,叹息
natural,天然
unfavorable,不利
Identification,鉴定
lifelong,终身
over,过度
companion,同伴
priority,优先
study,书房
save,节约
indirect,间接
Member of Parliament,议员
One Heart,一心
Performance,业绩
Any,任意
log,日志
careful,细心
Outstanding,杰出
Prosecution,起诉
blood,鲜血
workshop,车间
extend,延长
Sunday,周日
Avoid,回避
hansome,英俊
dream,梦见
Fall,瀑布
monster,怪物
resolution,决议
permanent,永久
Offstage,台下
commune,公社
Dislike,反感
surrender,投降
frustration,挫折
bothersome,迷惑
support,支援
flood,洪水
boss,上司
plains,平原
As one wishes,如意
telegraph,电报
Style,风采
starve,饿死
lifelong,终生
brilliance,光彩
Innocence,纯真
Takayama,高山
disinfect,消毒
Specification,规格
horse riding,骑马
fishing,钓鱼
Discussion,论述
Chinese cabbage,白菜
local,局部
long,悠久
objection,异议
introspection,反省
Care,爱护
Equipment,配备
cold,冷淡
call,通话
Chest,胸部
heartache,心痛
Sketches,小品
Help,救命
Inclusion,纳入
Select,选出
excellent,优良
concise,简洁
weird,怪异
Fertility,生育
Tips,秘诀
reasoning,推理
Convention,惯例
dense,密集
Jurisdiction,管辖
chain,连锁
subtle,微妙
humane,人道
Amendment,改正
in recent years,近年
face,面目
# 3000,# 3000
integrated,集成
Declaration,宣告
confidant,知己
California,加州
exercise,行使
chorus,合唱
On the water,水上
Tracks,曲目
The whole book,全书
jungle,丛林
captive,俘虏
Brother and sister,兄妹
cunning,狡猾
Hate,痛恨
resonance,共鸣
condolences,慰问
vision,视力
VIP,要人
Sun and Moon,日月
gold and silver,金银
Cold,冷酷
fuel,燃料
artificial,人造
Seriously injured,重伤
outflow,涌出
Great Man,伟人
vase,花瓶
Anatomy,解剖
flash,闪光
bury,埋葬
feed,饲料
Quanzhou,泉州
Self-blame,自责
Inflow,流入
Main entrance,正门
Emperor,天皇
Village,村落
sea ​​breeze,海风
Enforcement,施行
offensive,攻势
illegal,不法
public,公用
End of the year,年末
guests,宾客
bill,法案
banknotes,纸币
Traits,特质
dagger,匕首
unreasonable,无理
mid-month,中旬
Writing style,文笔
inertia,惯性
Ejection,喷出
Gains and Losses,得失
Cast,出演
Deep,深层
disaster,灾害
Pros and cons,利害
electrician,电工
scale,尺度
Fire prevention,防火
warlord,军阀
loan,借款
company,连队
fingerprint,指纹
Same name,同名
prototype,原型
cult,邪教
Victory or defeat,胜负
Sound quality,音质
judgement,判定
sea ​​areas,海域
shorthand,速记
term of office,任期
noon,正午
control,节制
Qualifications,资质
cherish,爱惜
phantom,幻影
Shared,共用
whirlwind,旋风
silver,白银
Non-human,非人
brush,毛笔
radiation,放射
wooden,木制
shelter,庇护
reconcile,调和
wise,英明
wired,有线
White Jade,白玉
Must win,必胜
book review,书评
Dharma Protector,护法
wack,怪人
Equipment,器具
load,负荷
brand,烙印
tangible,有形
Falling into the water,落水
ceiling,天井
terminal stage,末期
Middle level,中层
Cleaning,清扫
forestry,林业
Current,电流
wilderness,荒野
alliance,同盟
pilot,试行
ecstasy,狂喜
Killing,杀戮
factor,因子
restraint,拘束
Pros and Cons,优劣
Bones and muscles,筋骨
suspicion,猜疑
Self-recognition,自认
Death,病死
Adventure,奇遇
premature death,夭折
Veins,脉络
freeze to death,冻死
Line breaks,改行
doll,人形
Yearbook,年鉴
Triumph,凯旋
gossip,流言
Go to war,出征
queue,队列
permanent,常驻
Spin,回旋
assimilation,同化
ancient books,古书
Handan,邯郸
addition,追加
solution,溶液
Shangguan,上官
Qilin,麒麟
extroversion,外向
End of month,月末
powder,粉末
sincere,恳切
spoil,溺爱
illness,病魔
Annihilation,歼灭
early winter,初冬
Team,分队
Romance,演义
electromagnetic,电磁
Way,方式
learn,了解
at present,目前
clear,明白
environment,环境
work,作品
Finish,完成
Construction,建设
center,中心
Heart,心中
Comrade,同志
nourish,培养
notify,通知
Sure,确定
master,掌握
treat,治疗
in principle,原则
long,长期
creation,创作
Mature,成熟
Survive,生存
victory,胜利
constitute,构成
Entrepreneurship,创业
bookstore,书店
powerful,强大
bid farewell,告别
Dean,院长
kill,杀人
fantasy,幻想
recruitment,招聘
biology,生物
order,秩序
mayor,市长
merchant,商人
existing,现有
situation,局面
surface,表面
nature,本质
recall,回想
summary,摘要
wipe out,消灭
extreme,极端
postal,邮政
villain,小人
adjust,调节
conquer,征服
perfume,香水
Merchants,商家
characteristic,特性
loyalty,忠诚
Shop owner,店主
trademark,商标
Abuse,虐待
side,侧面
tenacious,顽强
accurate,精确
control,管制
White people,白人
manpower,人手
President,社长
Confirmation,确信
Features,特长
heartfelt,衷心
marvel,惊叹
lecturer,讲师
East China Sea,东海
Center of Gravity,重心
embarrassed,狼狈
bonds,债券
Pure,清纯
pure,纯正
Run,狂奔
Business Opportunities,商机
Accompany,相伴
urination,小便
prevalence,盛行
tone,色调
north,北面
sunset,落日
Opening,开场
Delivery,配送
Fairy,妖精
Division Commander,师长
Balance,天平
orthodox,正统
bishop,主教
stiff,生硬
water proof,防水
Supremacy,至上
Reproduction,繁殖
constitutionalism,宪政
original work,原作
seal,印章
vacuum,真空
weak,弱小
Royal Family,王室
slow down,减速
Standing,伫立
Hit,命中
Famous City,名城
send troops,出兵
bow,船头
Same day,同日
end,完结
normal,常态
create,创设
pour,倾注
Consider,斟酌
Quick,速成
brake,制动
childlike innocence,童心
concentric,同心
bed,河床
so,所以
cannot,不能
possible,可能
Japan,日本
English,英语
before,以前
organize,组织
responsibility,责任
before,面前
in the end,到底
psychology,心理
regardless,无论
youth,青年
Sunlight,阳光
Task,任务
only,唯一
still,依然
excellent,优秀
business,业务
land,土地
feature,特色
funds,资金
topic,话题
review,复习
conversation,谈话
scale,规模
south,南方
Order,命令
Name,姓名
customer,顾客
lonely,寂寞
live,居住
Version,版本
confidence,自信
year,年度
encounter,遭遇
This article,本文
temporary,临时
trust,信任
curious,好奇
author,笔者
season,季节
position,定位
relative,亲戚
cultural relics,文物
Infect,感染
Member,委员
realm,境界
lure,诱惑
hotline,热线
Configuration,配置
afterwards,事后
ending,结局
pain,疼痛
beautiful woman,美人
definition,定义
new year,新年
one time,一度
order,顺序
Affairs,事务
judicial,司法
Man-made,人为
culprit,犯人
exception,例外
outside world,外界
satellite,卫星
belief,信念
Not easy,不易
First-line,一线
extreme,极度
mix,混合
harm,危害
trees,树木
Outline,大纲
foreign investment,外资
tribe,部落
personnel,人事
Blind,盲目
Grape,葡萄
liberal arts,文科
spy,特务
Headache,头痛
interpretation,演绎
dawn,黎明
aviation,航空
North,北部
at the moment,眼下
Sex,性爱
closeness,亲近
opera,歌剧
supplies,物资
Most,大半
Show,披露
Analysis,解析
repair,修理
strange,奇特
Right,右派
prophecy,预言
repair,修复
Domination,支配
unknown,未知
Grand total,累计
audience,接见
Early stage,前期
cooking,料理
autumn,秋季
grade,品位
Decline,低下
New Year,元旦
generate,生成
Self-esteem,自尊
seabed,海底
martial arts,武术
Urge,催促
private,私立
justice,公道
novel,新奇
temple,寺院
confidential,机密
Green vegetables,青菜
injection,注入
mahjong,麻雀
friction,摩擦
inability,无能
Kaneko,金子
Your Majesty,陛下
electric wire,电线
official business,公务
brown,褐色
Seize,夺取
get lost,迷路
Relaxation,缓和
beauty,美貌
spark,火花
collection,采集
solidification,凝固
Lin Li,林立
rapid,急速
Umbrella,雨伞
deck,甲板
Noise,喧哗
Year 1,元年
support,供养
Sanctions,制裁
canal,运河
Qingming Festival,清明
innate,先天
Good feeling,好意
note,音符
Retirement,退役
tombstone,墓碑
Acting,演技
prestige,威风
Stationery,文具
Unlucky,不顺
subject,主语
Cultivation,栽培
Milky Way,银河
Untitled,无题
in every possible way,百般
suspicion,疑心
postpone,延期
restaurant,酒家
Vigilance,警戒
guard,卫兵
Stay behind,留守
Reduction,减免
thunderstorm,雷雨
collapse,瓦解
music scene,歌坛
foreign affairs,外事
hepatitis,肝炎
Encyclopedia,百科
White cloth,白布
River bank,河岸
branches and leaves,枝叶
horsepower,马力
whimper,呜咽
Engineering,工科
Cultivation,耕耘
Mind,心性
new,新任
bass,低音
garlic,大蒜
Relics,遗物
Savage,野人
high tide,大潮
continuous,连绵
Incurable,不治
prestige,威信
benevolence and righteousness,仁义
Disciple,门人
flower bed,花坛
recapture,夺回
Thick,粗大
retreat,退路
coconut,椰子
lime,石灰
fraternity,博爱
useless,无益
Gift,恩赐
Confinement,禁锢
abrupt,唐突
public servant,公仆
exchange,互换
kimono,和服
Guard,护卫
pupil,瞳孔
blasting,爆破
isolated island,孤岛
Flowers and trees,花木
Duty,本分
Remember,铭记
Rising Star,新星
Life,生活
Appear,出现
cause,造成
nervous,紧张
middle,中间
growing up,成长
disappointment,失望
administrative,行政
show,表明
shop,商店
get up,起床
in conclusion,结论
promise,承诺
the truth,真相
Applicable,适用
theater,剧场
Growth,生长
long,长久
common sense,常识
truth,真情
Smooth,流畅
hospital bed,病床
question,质问
Small amount,少量
correct,端正
Revitalization,振兴
New Year,正月
Ships,船舶
mad Men,狂人
Masterpiece,名作
tyranny,暴政
cuff,袖口
Protestant,新教
emphasis,偏重
Direct,直通
burning,灼热
Work,工作
at last,最后
Compare,比较
reporter,记者
pass,通过
author,作者
enterprise,企业
completely,完全
reason,原因
car,汽车
politics,政治
Basic,基本
love,爱情
get,获得
forum,论坛
happiness,幸福
recently,最近
doorway,门口
join in,加入
mainland,大陆
marry,结婚
system,制度
action,行动
usually,普通
agree,同意
usually,平时
up to date,最新
mistake,错误
huge,巨大
In front of you,眼前
Chinese,汉语
comprehensive,全面
hero,英雄
paper,论文
White,白色
contract,合同
Wonderful,精彩
trade,交易
time,时刻
Expose,露出
advanced,先进
from now on,今后
marriage,婚姻
Large,大型
Skill,技巧
rule,规则
personality,个性
protocol,协议
machine,机器
Earth,地球
divorce,离婚
Classification,分类
patient,患者
first,最初
capital,资本
currency,货币
cash,现金
confirm,确认
run,运行
Lucky,幸运
unmanned,无人
situation,形势
Aerial,空中
keep,保存
Good things,好事
warm,热烈
accidental,偶然
train,列车
Some,若干
Processing,加工
Housing,住宅
Passengers,旅客
local,本地
Regulations,法规
human heart,人心
compensation,赔偿
physics,物理
face,面子
tragedy,悲剧
noun,名词
next door,隔壁
mainstream,主流
doubt,疑问
Death,死去
talk,谈论
daily,日报
Heart,心底
Early,早期
talk,议论
Egypt,埃及
grey,灰色
Not connected,不通
punish,惩罚
initial,初期
hell,地狱
blood,血液
question,质疑
ponder,琢磨
Separation,分离
Newcomer,新人
seed,种子
White Cloud,白云
arrest,逮捕
Phoenix,凤凰
keyboard,键盘
Fusion,融合
hut,小屋
Fresh,清新
gorgeous,华丽
hazy,朦胧
element,元素
aggression,侵略
Consumption,消耗
congratulate,祝贺
Flavor,风味
In and out,出入
King,大王
the term,期限
Night,夜色
world,世间
death penalty,死刑
rainwater,雨水
usage,用法
farm,农场
Place names,地名
Fire,火灾
storehouse,仓库
sneer,冷笑
Birdie,小鸟
Proposition,命题
purpose,宗旨
clever,巧妙
accepted,公认
hobby,趣味
Glory,光辉
rescue,救助
power supply,电源
maintainance,保养
elderly,老年
alma mater,母校
public welfare,公益
custom,习俗
day and night,日夜
White,洁白
notice,通告
Real people,真人
Don't ask,不问
Change,更改
secular,世俗
fluctuation,波动
bondage,束缚
annual report,年报
convene,召集
revival,复兴
King Kong,金刚
Required,必需
Just like,一如
Speechless,无言
rule of law,法治
Q&A,问答
resurrection,复活
commander,司令
speculation,推测
bus,客车
Hot Blood,热血
confession,表白
extraordinary,非凡
current events,时事
joint venture,合资
Strange,奇异
transplant,移植
sports,竞技
Elderly care,养老
Centaur,人马
Acceptance,受理
boiling,沸腾
mercy,怜悯
Selected,入选
appeal,上诉
resentment,怨恨
force,逼迫
downstream,下流
surprise,惊异
kiss,接吻
termination,终止
Suspect,嫌疑
Invincible,无敌
Calories,热量
Resolute,毅然
Red Leaves,红叶
Elegant,典雅
migrate,迁移
Mo Da,莫大
sincerity,诚意
bacteria,细菌
spouse,配偶
Proposal,求婚
beautiful,秀丽
Drafting,起草
Composition,作曲
ventilation,通风
volcano,火山
Funny,风趣
interval,间隔
Geology,地质
islands,岛屿
omission,省略
stay,逗留
Classical Chinese,古文
accumulation,累积
literary world,文坛
Employment,就职
peony,牡丹
land,陆地
Dispatch,派遣
escape,逃亡
Protection,防护
cannon,大炮
Science and Engineering,理工
model,典范
Abandonment,遗弃
Antarctica,南极
army,陆军
beautify,美化
nurturing,养育
tobacco,烟草
old,久远
Original intention,本意
low,低廉
navigation,航海
garage,车库
base,下地
Yamaguchi,山口
More than half,过半
seal,密封
Promise,许诺
Far and near,远近
Utilitarian,功利
Hesitation,彷徨
school,流派
fan,扇子
Plants,草木
illiteracy,文盲
twilight,暮色
rest in peace,安息
Taoism,道教
remorse,悔恨
childbirth,分娩
Chinese,汉文
high notes,高音
Special Skills,特技
talented woman,才女
On the way,顺路
Popular,风靡
glimpse,瞥见
poor,贫乏
excellent work,佳作
noble person,贵人
feast,酒席
Love,情爱
Late,下旬
traction,牵引
same day,即日
All night,彻夜
Edom,以东
gorgeous,绚烂
official documents,公文
Outdated,落伍
Venus,金星
function,机能
Take turns,轮番
High position,高位
eminent monk,高僧
South side,南侧
metabolism,代谢
experienced,老练
banquet,宴席
precedent,先例
Resistance,耐性
Qianqiu,千秋
confession,自白
Excessive,过激
Confession,告白
Unfilial,不孝
fame,功名
cauldron,大锅
sarcasm,皮肉
Ask Yourself,自问
How many,几多
Reuse,重用
Gorgeous,华美
anus,肛门
Interaction,交互
Searching,物色
withdraw,撤回
particle,助词
air defense,防空
worldly-wise,世故
clear,明晰
Upper left,左上
Wonderful Dharma,妙法
standard,本位
prison,牢狱
Oriental,东洋
assassin,刺客
write,执笔
Correction,矫正
question,问题
place,地方
important,重要
As,作为
Decide,决定
news,新闻
ability,能力
Thought,思想
project,项目
score,成绩
emotion,感情
comminicate,交流
healthy,健康
form,形成
series,系列
husband,丈夫
course,课程
train,训练
cause,事业
grateful,感谢
central,中央
Suitable,适合
excited,兴奋
Pursue,追求
Production,制作
high school,高中
Consumption,消费
detailed,详细
background,背景
character,性格
trading,贸易
emotion,情感
mutual,相互
Chinese,华人
average,平均
tidy,整理
Make,作出
Great Wall,长城
employment,就业
reserve,保留
aldult,成人
universal,普遍
type,类型
original,原本
charm,魅力
typical,典型
above,上述
hostel,旅馆
exhibit,展示
molecular,分子
staff,职工
scene,情景
rise,上升
unlimited,无限
Achievement,成就
fair,公平
Violence,暴力
go ahead,前进
Claim,主张
ask,请求
hat,帽子
era,纪元
Jianghu,江湖
designation,指定
peers,同行
Laozi,老子
warn,警告
excessive,过分
resemblance,相似
individual,个别
Common,常用
active,活跃
bright,光明
Position,职务
construction,施工
In a dream,梦中
Pursuit,追究
future,前途
Confuse,疑惑
Position,职位
dialect,方言
exquisite,精致
goods,货物
principle,原理
prospect,前景
Young Master,公子
Early this year,年初
distance,远方
blank,空白
winter,冬季
northwest,西北
answer,解答
Release,解除
legal system,法制
Going down the mountain,下山
health care,保健
Space and Time,时空
Job hunting,求职
Integration,整合
Audio,音响
Time,时分
Featured,精选
regular,正规
compensate,补偿
During the same period,同期
gold,金色
Artificial,人工
primary,初级
fulfill,履行
inhibition,抑制
middle East,中东
Anonymous,匿名
capacity,容量
Fault,故障
defendant,被告
wireless,无线
invisible,无形
same year,同年
Encyclopedia,大全
pavement,路面
romantic,风流
sky,上空
companion,伴侣
company,一连
High and Low,高低
Living together,同居
intervention,介入
Big Mouth,大口
tonight,今夜
Notice,通报
ocean,大洋
Take the lead,率先
January,一月
origin,起源
open air,露天
charitable,慈善
Intonation,语调
limit,限度
Candidate,人选
mark,标记
favors,人情
asphyxia,窒息
thoughts,感想
space,空地
End of term,期末
All four directions,四方
in force,现行
new,新兴
instruction,指令
Benefit,受益
busy,繁忙
strong winds,大风
Practice,修行
synthesis,合成
masterpiece,大作
custom,风俗
Pass,通行
discomfort,不适
repent,忏悔
