en,ja
generation,代
strange,変
Change,換
for,替
# ka-eru,# ka-eru
generation,代
strange,変
Change,換
for,替
# the,# den
field,田
Transmission,伝
temple,殿
electricity,電
# tsu-keru,# tsu-keru
With,付
At once,就
Wear,着
stains,漬
# tsu-ku,# tsu-ku
With,付
sudden,突
At once,就
Wear,着
#ritsu,# ritsu
stand,立
law,律
Rate,率
chestnut,慄
# rai,# rai
Rei,礼
Come,来
thunder,雷
Reliance,頼
# shiki,# shiki
Mode,式
color,色
Weaving,織
knowledge,識
# already,# na
name,名
That,那
Chennai,奈
vegetable,菜
# return,# retsu
List,列
inferior,劣
strong,烈
crack,裂
# of,# wa
I,我
and,和
story,話
wheel,輪
# when,# kun
you,君
Training,訓
Isamu,勲
Kaoru,薫
# tsui,# tsui
versus,対
Chase,追
vertebrae,椎
fall,墜
# in,# nan
male,男
South,南
soft,軟
Disaster,難
# to-my,# ki-ku
profit,利
Effective,効
smell,聞
Listening,聴
# invite,# kutsu
Qu,屈
dig,掘
shoes,靴
cave,窟
# kata-i,# kata-i
solid,固
Jian,堅
hard,硬
Disaster,難
# with-are,# sa-su
prick,刺
refer to,指
Difference,差
Insert,挿
# men,# men
waived,免
noodle,面
cotton,綿
noodles,麺
# for,# mo
Shigeru,茂
funeral,喪
mold,模
Algae,藻
# even,# hata
field,畑
flag,旗
end,端
machine,機
# bin,# bin
Convenience,便
Min,敏
poor,貧
bottle,瓶
# of it,# ryo
companion,侶
Journey,旅
Captive,虜
consider,慮
# etsu,# etsu
Joy,悦
cross,越
Visit,謁
View,閲
# mute,# gū
palace,宮
even,偶
Encounter,遇
corner,隅
# I will,# zan
Residual,残
miserable,惨
cut,斬
temporarily,暫
# no,# ba
horse,馬
mother-in-law,婆
field,場
scold,罵
# rui,# rui
tears,涙
tired,累
base,塁
kind,類
# raku,# raku
Network,絡
fall,落
easy,楽
cheese,酪
# geki,# geki
gap,隙
drama,劇
Attack,撃
Excitement,激
# this,# ichi
one,一
city,市
one,壱
# blind,# itsu
one,一
five,五
Yi,逸
# delete,# futa
two,二
pair,双
build,蓋
# nyū,# nyū
enter,入
milk,乳
soft,柔
# hachi,# hachi
eight,八
pot,鉢
bee,蜂
# ge,# ge
Down,下
outside,外
untie,解
# ko-u,# ko-u
beg,乞
love,恋
please,請
# a-geru,# a-geru
superior,上
Appointment,挙
Yang,揚
# a-garu,# a-garu
superior,上
Appointment,挙
Yang,揚
# nobo-ru,# nobo-ru
superior,上
Noboru,昇
Deng,登
# take,# take
height,丈
bamboo,竹
Take,岳
# ka-ru,# ka-ru
Harvesting,刈
Hunting,狩
Drive,駆
# ka-ku,# ka-ku
owe,欠
Book,書
Description,描
# to-maru,# to-maru
end,止
nights,泊
Keep,留
# to-meru,# to-meru
end,止
nights,泊
Keep,留
# ki-ru,# ki-ru
cut,切
cut,斬
Wear,着
# ton,# ton
Tun,屯
pig,豚
Dun,頓
# good,# bun
point,分
arts,文
smell,聞
# ship,# moku
tree,木
eye,目
silence,黙
# enter,# tomo
friend,友
common,共
for,供
# utsu-su,# utsu-su
Write,写
reflect,映
shift,移
# utsu-ru,# utsu-ru
Write,写
reflect,映
shift,移
# o-u,# o-u
born,生
Chase,追
burden,負
# ha-eru,# ha-eru
born,生
reflect,映
Sakae,栄
# u-tsu,# u-tsu
beat,打
discuss,討
Attack,撃
# shiro,# shiro
generation,代
white,白
city,城
# oka-su,# oka-su
offender,犯
Invasion,侵
Risk,冒
# ben,# ben
valve,弁
Convenience,便
Study,勉
# she,# hon
Book,本
Run,奔
turn,翻
# matsu,# matsu
End,末
loose,松
wipe,抹
# an,# an
install,安
case,案
dark,暗
# a-u,# a-u
meeting,会
combine,合
suffered,遭
# kitsu,# kitsu
lucky,吉
eat,喫
Checkmate,詰
# kyoku,# kyoku
song,曲
Bureau,局
pole,極
# you can,# ka-u
pay,交
purchase,買
feed,飼
# in,# mune
purpose,旨
chest,胸
Dong,棟
# tsu-gu,# tsu-gu
Second-rate,次
catch,接
Successor,継
# a-teru,# a-teru
charge,充
when,当
To,宛
# ha-ku,# ha-ku
vomit,吐
sweep,掃
shoe,履
# work,# hana
flower,花
magnificent,華
nose,鼻
# kyaku,# kyaku
but,却
Customer,客
foot,脚
# kiwa-meru,# kiwa-meru
Research,究
pole,極
poverty,窮
# gei,# gei
Art,芸
welcome,迎
whale,鯨
# tsuku-ru,# tsuku-ru
do,作
make,造
Creation,創
# they-we,# su-mu
live,住
done,済
Cheng,澄
# hatsu,# hatsu
first time,初
Departure,発
hair,髪
# no-beru,# no-beru
stretch,伸
Extension,延
Description,述
#fu-ku,# fu-ku
blow,吹
wipe,拭
spray,噴
# shizu-meru,# shizu-meru
Shen,沈
quiet,静
town,鎮
# tsuto-meru,# tsuto-meru
Nu,努
Service,務
Diligence,勤
# to,# gu
Tool,具
fear,惧
stupid,愚
# yes,# a-ku
null,空
bright,明
open,開
# a-keru,# a-keru
null,空
bright,明
open,開
# more,# kara
null,空
Tang,唐
shell,殻
# strong,# jaku
like,若
weak,弱
lonely,寂
# soo,# sū
pivot,枢
worship,崇
number,数
# choku,# choku
straight,直
Imperial Rescript,勅
Strike,捗
# texture,# doku
poison,毒
alone,独
Reading,読
# ko-eru,# ko-eru
Fat,肥
cross,越
overtake,超
# araw-su,# arawa-su
surface,表
now,現
Wear,著
# prevent them,# hana-su
put,放
story,話
Leave,離
# days,# ra
pull,拉
naked,裸
Luo,羅
# it is,# ne
sound,音
root,根
value,値
# ka-karu,# ka-karu
shelf,架
hang,掛
hanging,懸
# gun,# gun
military,軍
county,郡
group,群
# them,# ato
back,後
mark,痕
Traces,跡
# atsu-i,# atsu-i
Thickness,厚
heat,暑
hot,熱
# sa-ku,# sa-ku
Saki,咲
split,割
crack,裂
# shun,# shun
Shun,俊
spring,春
instant,瞬
# ta-eru,# ta-eru
Resistance,耐
Kan,堪
Absolute,絶
# sumi,# sumi
charcoal,炭
corner,隅
ink,墨
# like,# kama
kettle,釜
kiln,窯
sickle,鎌
# to,# iki
Stylish,粋
breath,息
domain,域
# gyo,# gyo
fish,魚
O,御
fishing,漁
# susu-meru,# susu-meru
Enter,進
Recommended,勧
recommend,薦
# she-we,# ita-mu
mourning,悼
pain,痛
scratch,傷
# don,# don
greedy,貪
blunt,鈍
Cloudy,曇
# shi-maru,# shi-maru
close,閉
twist,絞
Conclusion,締
# to-ku,# to-ku
untie,解
dissolve,溶
theory,説
# tsu-mu,# tsu-mu
Checkmate,詰
Pick,摘
product,積
# hashi,# hashi
end,端
chopsticks,箸
bridge,橋
# hedge,# heki
wall,壁
Bi,璧
habit,癖
# milestone,# hito
one,一
people,人
# shichi,# shichi
seven,七
quality,質
# eye,# mata
again,又
share,股
# ryoku,# ryoku
force,力
green,緑
#shita,# shita
Down,下
tongue,舌
# hole,# shimo
Down,下
frost,霜
# sa-geru,# sa-geru
Down,下
carry,提
# o-rosu,# o-rosu
Down,下
drop,降
# o-riru,# o-riru
Down,下
drop,降
# maru-i,# maru-i
Circle,丸
circle,円
# of you,# nyo
female,女
like,如
# na-i,# na-i
Death,亡
none,無
# good,# bon
Fan,凡
pot,盆
# hi-ku,# hi-ku
lead,引
bullets,弾
# on,# naka
middle,中
Naka,仲
# ame,# ame
sky,天
rain,雨
# to nio,# nio-u
Smell,匂
Smelly,臭
# jitsu,# jitsu
day,日
fruit,実
# chichi,# chichi
father,父
milk,乳
# butsu,# butsu
Buddha,仏
thing,物
# naga-i,# naga-i
forever,永
long,長
# disappointed,# hoka
outside,外
he,他
# ka-tsu,# ka-tsu
and,且
Victory,勝
# or - us,# ko-mu
Included,込
mix,混
# sara,# sara
dish,皿
Even,更
# shime-su,# shime-su
Show,示
wet,湿
# baby,# omo
host,主
noodle,面
# u-mareru,# u-mareru
born,生
Production,産
# u-mu,# u-mu
born,生
Production,産
# totsu,# totsu
convex,凸
sudden,突
# futsu,# futsu
Payment,払
boiling,沸
# min,# min
civil,民
sleep,眠
# ta-teru,# ta-teru
stand,立
establish,建
# yo-ru,# yo-ru
because,因
send,寄
# ma-jiru,# ma-jiru
pay,交
mix,混
# ma-zaru,# ma-zaru
pay,交
mix,混
# zeros,# ma-zeru
pay,交
mix,混
# they-you,# su-ku
good,好
through,透
# i-ku,# i-ku
OK,行
Passing away,逝
#yu-ku,# yu-ku
OK,行
Passing away,逝
# a-ru,# a-ru
exist,在
have,有
# rope,# fune
Boat,舟
Boat,船
# and-ru,# na-ru
become,成
Ming,鳴
# zetsu,# zetsu
tongue,舌
Absolute,絶
# release,# saki
First,先
Saki,崎
# haya-i,# haya-i
morning,早
Fast,速
# haya-maru,# haya-maru
morning,早
Fast,速
# haya-meru,# haya-meru
morning,早
Fast,速
# fu-keru,# fu-keru
old,老
Even,更
# kota-eru,# kota-eru
Response,応
answer,答
# gift,# kado
horn,角
Door,門
# came,# waza
Technique,技
Industry,業
# gin,# gin
Chant,吟
silver,銀
#mi-ru,# mi-ru
look,見
Examination,診
# se-meru,# se-meru
attack,攻
responsibility,責
# ni-ru,# ni-ru
Similar,似
cook,煮
# so-meru,# so-meru
first time,初
dye,染
# shop,# toko
floor,床
often,常
# no-biru,# no-biru
stretch,伸
Extension,延
# no-basu,# no-basu
stretch,伸
Extension,延
# to,# zu
figure,図
head,頭
# you,# koe
voice,声
Fat,肥
# aka-ramu,# aka-ramu
red,赤
bright,明
# o-ru,# o-ru
fold,折
Weaving,織
# ashi,# ashi
feet,足
foot,脚
# march,# machi
town,町
city,街
# in-ru,# u-ru
Sell,売
have to,得
# u-reru,# u-reru
Sell,売
cooked,熟
# of,# saka
slope,坂
reverse,逆
# betsu,# betsu
another,別
smear,蔑
# kae-su,# kae-su
return,返
Return,帰
# kae-ru,# kae-ru
return,返
Return,帰
# botsu,# botsu
without,没
Erection,勃
# aya-shii,# aya-shii
demon,妖
Strange,怪
# ku-ru,# ku-ru
Come,来
Repeat,繰
#yo-i,# yo-i
good,良
good,善
# sa-meru,# sa-meru
cold,冷
Awakening,覚
# sa-masu,# sa-masu
cold,冷
Awakening,覚
# it,# iku
Education,育
Several,幾
# do it,# yasa-shii
easy,易
excellent,優
# so-u,# so-u
along,沿
add,添
# oh-so,# o-su
bet,押
push,推
# orai,# atai
Price,価
value,値
# for you,# na-ku
Cry,泣
Ming,鳴
# sona-eru,# sona-eru
for,供
Preparation,備
# kane,# kane
gold,金
bell,鐘
#tsuru,# tsuru
string,弦
crane,鶴
# su-ru,# su-ru
brush,刷
wipe,擦
# tsuka-u,# tsuka-u
make,使
Send,遣
#nao-ru,# nao-ru
rule,治
straight,直
# nao-su,# nao-su
rule,治
straight,直
# mono,# mono
Writer,者
thing,物
# and,# ja
evil,邪
snake,蛇
# u-keru,# u-keru
by,受
please,請
# jutsu,# jutsu
Description,述
technique,術
# sotsu,# sotsu
Graduate,卒
Rate,率
#us,# nami
Wave,波
and,並
# omote,# omote
surface,表
noodle,面
# arawa-reru,# arawa-reru
surface,表
now,現
# wa-ku,# wa-ku
boiling,沸
surge,湧
# hana-reru,# hana-reru
put,放
Leave,離
# maki,# maki
Mu,牧
Volume,巻
# a-kasu,# a-kasu
bright,明
full,飽
# is missing,# abura
Oil,油
fat,脂
# local,# waku
frame,枠
Confusion,惑
# oso-reru,# oso-reru
fear,畏
fear,恐
# feet,# kaki
wall,垣
persimmon,柿
# gyaku,# gyaku
reverse,逆
Abuse,虐
# notch,# kakari
Tie,係
hang,掛
# oku-reru,# oku-reru
back,後
Slow,遅
# ara-i,# ara-i
shortage,荒
thick,粗
# kao-ru,# kao-ru
fragrant,香
Kaoru,薫
# multi-track,# yawa-raka
soft,柔
soft,軟
# multi-units,# yawa-rakai
soft,柔
soft,軟
# tate,# tate
shield,盾
vertical,縦
# no-ru,# no-ru
Ride,乗
load,載
# no-seru,# no-seru
Ride,乗
load,載
# tsu,# tsu
Tianjin,津
All,都
# kaeri-miru,# kaeri-miru
Province,省
Gu,顧
# oku-ru,# oku-ru
deliver,送
Gift,贈
# or,# tabi
degree,度
Journey,旅
# truck,# oko-ru
anger,怒
prosper,興
# to-bu,# to-bu
fly,飛
Jump,跳
# witches,# mayu
eyebrow,眉
cocoon,繭
# fū,# fū
seal up,封
wind,風
# water,# ura
Ura,浦
back,裏
# u-eru,# u-eru
hungry,飢
plant,植
# hara,# hara
Original,原
stomach,腹
# fu-ru,# fu-ru
drop,降
Vibration,振
# kotsu,# kotsu
bone,骨
slip,滑
# for,# za
seat,座
frustration,挫
# you-we,# ku-mu
discretionary,酌
Group,組
# fu-reru,# fu-reru
Vibration,振
touch,触
# which,# kura
warehouse,倉
storehouse,蔵
# saga-su,# saga-su
Search,捜
Exploration,探
# chitsu,# chitsu
rank,秩
suffocation,窒
# tsū,# tsū
Pass,通
pain,痛
# yabu-reru,# yabu-reru
break,破
defeat,敗
# nara-u,# nara-u
Imitation,倣
habit,習
# tatsu,# tatsu
dragon,竜
Da,達
# I,# aku
evil,悪
grip,握
# cake,# kage
Negative,陰
shadow,影
# your sister,# kawa-ku
thirst,渇
Dry,乾
# wazura-u,# wazura-u
Suffer from,患
bother,煩
# ho-ru,# ho-ru
dig,掘
Carving,彫
# he-ru,# he-ru
Temperament,経
reduce,減
# them-masu,# su-masu
done,済
Cheng,澄
# mo-ru,# mo-ru
Sheng,盛
leak,漏
# datsu,# datsu
Take off,脱
seize,奪
# give,# cho
Wear,著
Storage,貯
# ha-ru,# ha-ru
open,張
stick,貼
# e-ru,# e-ru
have to,得
Gain,獲
# tazu-neru,# tazu-neru
visit,訪
Search,尋
# nozo-mu,# nozo-mu
see,望
Pro,臨
# work,# asa
numb,麻
morning,朝
# mitsu,# mitsu
dense,密
honey,蜜
# tsuto-maru,# tsuto-maru
Service,務
Diligence,勤
# and,# un
luck,運
cloud,雲
# yo-mu,# yo-mu
Chant,詠
Reading,読
# or them,# ko-su
cross,越
overtake,超
# smart-ka,# atata-ka
temperature,温
warm,暖
# atata-kai,# atata-kai
temperature,温
warm,暖
# atata-maru,# atata-maru
temperature,温
warm,暖
# atata-meru,# atata-meru
temperature,温
warm,暖
#tattoo-i,# tatto-i
expensive,貴
Zun,尊
# blood-in,# tōto-i
expensive,貴
Zun,尊
# tattoo-bu,# tatto-bu
expensive,貴
Zun,尊
# tōto-bu,# tōto-bu
expensive,貴
Zun,尊
# goku,# goku
pole,極
prison,獄
# kiwa-maru,# kiwa-maru
pole,極
poverty,窮
# shibo-ru,# shibo-ru
twist,絞
squeeze,搾
# fu-eru,# fu-eru
colonization,殖
Increase,増
# fu-yasu,# fu-yasu
colonization,殖
Increase,増
# follow,# zui
Follow,随
marrow,髄
# ha-reru,# ha-reru
clear,晴
swell,腫
# ha-rasu,# ha-rasu
clear,晴
swell,腫
# chaku,# chaku
Wear,着
legitimate,嫡
# ita-meru,# ita-meru
pain,痛
scratch,傷
# sa-keru,# sa-keru
crack,裂
avoid,避
# Van,# wan
Bay,湾
arm,腕
# zodiac,# shio
salt,塩
tide,潮
# to-kasu,# to-kasu
untie,解
dissolve,溶
# to-keru,# to-keru
untie,解
dissolve,溶
# mu-reru,# mu-reru
group,群
Steam,蒸
# ure-eru,# ure-eru
worry,愁
worry,憂
# ure-i,# ure-i
worry,愁
worry,憂
# sawa-ru,# sawa-ru
touch,触
barrier,障
# ne-ru,# ne-ru
Sleep,寝
practice,練
# tsutsushi-mu,# tsutsushi-mu
Caution,慎
Caution,謹
# to the father,# tataka-u
War,戦
Fight,闘
# flavor,# maku
screen,幕
membrane,膜
# uta-u,# uta-u
Song,歌
Noh,謡
# na-rasu,# na-rasu
used,慣
Ming,鳴
# ayama-ru,# ayama-ru
error,誤
Thanks,謝
# anyway,# juku
cram school,塾
cooked,熟
# shizu-maru,# shizu-maru
quiet,静
town,鎮
# odo-ru,# odo-ru
Dance,踊
jump,躍
# rivers,# reki
calendar,暦
History,歴
# furu-u,# furu-u
shock,震
Fervent,奮
# great,# daku
promise,諾
turbidity,濁
# right-u,# totono-u
tune,調
all,整
# totono-eru,# totono-eru
tune,調
all,整
# or die,# ko-rasu
Condensation,凝
Punishment,懲
